1,4096,39,477808,80599
2,4096,294,656513,91569
3,4096,507,639020,73452
4,4096,117,409789,79188
5,4096,1050,893036,85761
6,4096,586,473193,69663
7,4096,798,523731,55056
8,4096,778,484406,50849
9,4096,813,536842,75758
10,4096,1101,1054401,86040
11,4096,1230,1090338,98942
12,4096,1241,733557,98883
13,4096,1285,744708,98708
14,4096,1763,1009586,113157
15,4096,994,578854,84706
16,4096,313,387009,49464
17,4096,293,473062,65450
18,4096,507,312944,21218
19,4096,699,216909,32047
20,4096,955,198713,37359
21,4096,1159,314038,42870
22,4096,635,201171,31784
23,4096,848,261970,37567
24,4096,501,203310,36314
25,4096,707,231906,31546
26,4096,617,322223,26381
27,4096,1652,326865,43321
28,4096,1163,264162,38734
29,4096,758,251882,33762
30,4096,719,209786,31443
31,4096,232,149033,25443
32,4096,1190,239123,37085
33,4096,1280,304162,39999
34,4096,99,121626,23077
35,4096,797,242797,32327
36,4096,1182,256980,39287
37,4096,705,189325,29936
38,4096,616,169857,27968
39,4096,4079,208701,39537
40,4096,4078,206775,39150
41,4096,4106,218714,41387
42,4096,3876,240168,45908
43,4096,4086,213240,40083
44,4096,4084,207252,39697
45,4096,4086,200743,38675
46,4096,4069,202927,48346
47,4096,4093,187155,35493
48,4096,4077,188879,35794
49,4096,4093,187496,35234
50,4096,4105,207305,37717
51,4096,4084,198456,37621
52,4096,4077,219590,47123
53,4096,4092,186124,35206
54,4096,4088,210369,37254
55,4096,4083,198661,37738
56,4096,4096,201005,37574
57,4096,4091,199221,38165
58,4096,4094,199941,37023
59,4096,4087,199353,37367
60,4096,4097,213602,34695
61,4096,4094,186587,35535
62,4096,4091,213665,37404
63,4096,4083,200598,39173
64,4096,4083,205695,34730
65,4096,4083,187482,35121
66,4096,4097,214606,37487
67,4096,4089,198500,37622
68,4096,4093,198351,37140
69,4096,4092,202156,34570
70,4096,4090,185309,34601
71,4096,4097,187742,35067
72,4096,4074,186125,35320
73,4096,2012,172302,30662
74,4096,4098,185323,34812
75,4096,4088,184481,35108
76,4096,4105,186982,34718
77,4096,4156,185295,33322
78,4096,4088,185631,35512
79,4096,2292,491082,44275
80,4096,4081,203205,38696
81,4096,4087,198885,37037
82,4096,460,192216,19011
83,4096,4080,197983,35091
84,4096,4095,186269,35250
85,4096,4097,184435,35072
86,4096,4093,183543,34998
87,4096,4097,186912,35192
88,4096,4087,184347,34955
89,4096,4093,185396,34906
90,4096,4095,187202,35188
91,4096,4097,186413,34956
92,4096,4082,185816,35500
93,4096,4089,211666,38121
94,4096,4068,201720,37649
95,4096,4086,198575,37084
96,4096,2022,179450,32445
97,4096,4088,201265,35502
98,4096,4098,182729,34690
99,4096,4093,186122,35295
100,4096,4092,184184,35005
101,4096,4091,186321,35181
102,4096,4090,185157,35449
103,4096,4089,185976,34944
104,4096,4090,186270,35433
105,4096,4086,189083,35545
106,4096,546,176213,18695
107,4096,4094,204977,37771
108,4096,2033,184362,32636
109,4096,4085,197568,38412
110,4096,4091,201550,37555
111,4096,4066,204737,35532
112,4096,4151,183540,33345
113,4096,4094,186873,34566
114,4096,4095,186168,35360
115,4096,4159,196177,33340
116,4096,4095,207624,38028
117,4096,3034,191364,36731
118,4096,4092,198433,37948
119,4096,4068,201670,37380
120,4096,4085,198602,38930
121,4096,4080,200336,38087
122,4096,4089,198203,37191
123,4096,4096,212554,37475
124,4096,4102,197657,34646
125,4096,4099,187028,34988
126,4096,4089,185740,35000
127,4096,4091,188016,35165
128,4096,3020,178724,34797
129,4096,4094,186971,35904
130,4096,4083,204901,37164
131,4096,3865,211494,40982
132,4096,4087,197609,37911
133,4096,4088,199629,37479
134,4096,4089,196641,38118
135,4096,4081,198712,37670
136,4096,4088,197870,38771
137,4096,4091,208162,37989
138,4096,4085,197757,37320
139,4096,4095,198727,37324
140,4096,4098,202919,35158
141,4096,4089,185087,34779
142,4096,4092,185655,35243
143,4096,4088,185391,34787
