1,4096,152,17100,14372
2,4096,424,20641,22478
3,4096,800,48490,35882
4,4096,224,12367,11970
5,4096,1232,58721,61995
6,4096,864,40393,46429
7,4096,1520,92938,69568
8,4096,1608,77996,56391
9,4096,1192,51187,49456
10,4096,1256,47482,63312
11,4096,3168,333943,229293
12,4096,2008,81277,69543
13,4096,2112,70124,60981
14,4096,3728,204125,146611
15,4096,1544,79699,58388
16,4096,488,23336,20548
17,4096,448,21587,23212
18,4096,800,40749,32234
19,4096,1064,38686,29817
20,4096,3672,184749,132602
21,4096,1792,68683,64983
22,4096,904,46193,37599
23,4096,1448,62400,49024
24,4096,856,27322,22433
25,4096,936,43727,56359
26,4096,1088,27429,30516
27,4096,2808,154396,111812
28,4096,2216,116090,88404
29,4096,1144,67082,56706
30,4096,1344,87756,63774
31,4096,384,21044,18490
32,4096,1896,117573,86237
33,4096,2312,84638,69754
34,4096,208,10514,11048
35,4096,1128,53938,63195
36,4096,1920,108066,75787
37,4096,1224,69868,53279
38,4096,1024,55540,47396
39,4096,4240,103389,81090
40,4096,4240,106266,82687
41,4096,4240,124886,92210
42,4096,4240,149374,111088
43,4096,4240,110586,84449
44,4096,4240,105633,80069
45,4096,4240,80624,60333
46,4096,4240,68310,53966
47,4096,4240,69019,53450
48,4096,4240,71064,53828
49,4096,4240,73140,55194
50,4096,4240,66442,50980
51,4096,4240,76045,58878
52,4096,4240,67035,51619
53,4096,4240,74888,56639
54,4096,4240,70273,54401
55,4096,4240,76352,59517
56,4096,4240,69855,55192
57,4096,4240,72826,55180
58,4096,4240,69904,54052
59,4096,4240,70912,53781
60,4096,4240,65164,50708
61,4096,4240,67002,52033
62,4096,4240,68417,52316
63,4096,4240,76401,58425
64,4096,4240,72357,53565
65,4096,4240,73737,56249
66,4096,4240,84560,62933
67,4096,4240,80079,62867
68,4096,4240,80726,60433
69,4096,4240,83847,65614
70,4096,4240,78212,61240
71,4096,4240,87007,66731
72,4096,4240,80367,64351
73,4096,2192,111680,75220
74,4096,4240,91106,71057
75,4096,4240,81649,62304
76,4096,4240,77334,62330
