1,4096,39,501210,79432
2,4096,294,608730,56697
3,4096,507,403338,46959
4,4096,117,260933,48587
5,4096,1050,634057,73256
6,4096,586,409969,58710
7,4096,798,458770,49892
8,4096,778,419789,42970
9,4096,813,467735,66789
10,4096,1101,906473,75301
11,4096,1230,931627,83627
12,4096,1241,637737,82909
13,4096,1285,646796,83744
14,4096,1763,887956,95742
15,4096,994,500072,71257
16,4096,313,335488,42080
17,4096,293,406074,55605
18,4096,507,337097,20176
19,4096,699,214043,31030
20,4096,955,180638,31835
21,4096,1159,275164,37613
22,4096,635,177462,27366
23,4096,848,228419,32239
24,4096,501,197362,24590
25,4096,707,277142,35267
26,4096,617,368566,29604
27,4096,1652,368189,40652
28,4096,1163,260404,37478
29,4096,758,245747,31465
30,4096,719,229498,35352
31,4096,232,173415,29093
32,4096,1190,277004,42567
33,4096,1280,346085,45013
34,4096,99,140882,22169
35,4096,797,239402,30795
36,4096,1182,251010,37442
37,4096,705,185204,28408
38,4096,616,170945,26837
39,4096,4079,205589,37983
40,4096,4078,204821,37946
41,4096,4106,218853,38481
42,4096,3876,238878,44282
43,4096,4086,210170,38511
44,4096,4084,206257,38157
45,4096,4086,205980,38289
46,4096,4069,215284,35615
47,4096,4093,191597,35119
48,4096,4077,192495,35690
49,4096,4093,192850,34815
50,4096,4105,192069,35025
51,4096,4084,190559,34940
52,4096,4077,192937,35599
53,4096,4092,191120,34671
54,4096,4088,190739,36037
55,4096,4083,189650,35184
56,4096,4096,189967,35170
57,4096,4091,189181,35519
58,4096,4094,190813,34952
59,4096,4087,219797,37706
60,4096,4097,204293,36740
61,4096,4094,203404,37997
62,4096,4091,206322,37327
63,4096,4083,205575,38478
64,4096,4083,202446,36838
65,4096,4083,204609,37464
66,4096,4097,205126,37475
67,4096,4089,204755,37978
68,4096,4093,202355,37246
69,4096,4092,201351,36971
70,4096,4090,221338,50069
71,4096,4097,206643,37752
72,4096,4074,202295,37768
73,4096,2012,189530,33109
74,4096,4098,204399,38436
75,4096,4088,203088,37508
76,4096,4105,203350,37179
77,4096,4156,200499,35553
78,4096,4088,204987,38290
79,4096,2292,499202,44536
80,4096,4081,207107,39003
81,4096,4087,206656,37059
82,4096,460,188681,19936
83,4096,4080,202303,37308
84,4096,4095,205328,37569
85,4096,4097,204178,60224
