cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,iteration_number,compressed_size,uncompressed_size,compression_time,decompression_time
1,0,159,0,4106,4096,33039,2648
1,0,160,0,4106,4096,32637,2666
1,0,161,0,4106,4096,32682,2658
1,0,162,0,465,4096,37767,19785
1,0,163,0,4106,4096,33917,2646
1,0,164,0,3970,4096,32851,14938
1,0,165,0,409,4096,37548,12600
1,0,166,0,4106,4096,34815,2972
1,0,167,0,4106,4096,33261,2637
1,0,168,0,4106,4096,33161,2645
1,0,169,0,4106,4096,32748,2641
1,0,170,0,395,4096,34802,11765
1,0,171,0,4106,4096,32986,2686
1,0,172,0,3806,4096,32224,15435
1,0,173,0,4106,4096,33199,2687
1,0,174,0,4106,4096,32761,2654
1,0,175,0,4106,4096,33228,2656
1,0,176,0,4106,4096,33069,2637
1,0,177,0,4106,4096,33154,2659
1,0,178,0,4106,4096,33233,2652
1,0,179,0,4106,4096,32814,2647
1,0,180,0,4106,4096,33159,2676
1,0,181,0,4106,4096,43657,1526
1,0,182,0,4106,4096,19613,1582
1,0,183,0,364,4096,19706,6394
1,0,184,0,4106,4096,17229,1363
1,0,185,0,4106,4096,17378,1351
1,0,186,0,3854,4096,17409,7637
1,0,187,0,4106,4096,17280,1343
1,0,188,0,4106,4096,17769,1352
1,0,189,0,4106,4096,17418,1346
1,0,190,0,4106,4096,17312,1345
1,0,191,0,3852,4096,17367,7663
1,0,192,0,4106,4096,17509,1337
1,0,193,0,4106,4096,17175,1347
1,0,194,0,4038,4096,17381,7360
1,0,195,0,405,4096,18133,5980
1,0,196,0,4106,4096,17610,1346
1,0,197,0,4106,4096,17074,1340
1,0,198,0,4106,4096,17171,1336
1,0,199,0,4106,4096,17564,1346
1,0,200,0,4106,4096,17103,1345
1,0,201,0,3911,4096,17394,7389
1,0,202,0,4106,4096,17284,1340
1,0,203,0,4106,4096,17231,1340
1,0,204,0,4106,4096,17446,1332
1,0,205,0,1092,4096,15395,5732
1,0,206,0,4106,4096,17212,1322
1,0,207,0,4106,4096,17243,1340
1,0,208,0,4106,4096,17141,1335
1,0,209,0,4106,4096,18364,1492
1,0,210,0,4106,4096,17211,1332
1,0,211,0,4106,4096,17568,1326
1,0,212,0,4106,4096,17437,1338
1,0,213,0,4106,4096,17361,1347
1,0,214,0,4106,4096,17775,1345
1,0,215,0,4106,4096,17415,1363
1,0,216,0,4106,4096,17724,1348
