cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,iteration_number,compressed_size,uncompressed_size,compression_time,decompression_time
1,0,159,0,4097,4096,199391,37418
1,0,160,0,4089,4096,199074,37043
1,0,161,0,4088,4096,201879,36926
1,0,162,0,458,4096,185051,23842
1,0,163,0,4099,4096,188938,35375
1,0,164,0,3997,4096,199908,38648
1,0,165,0,414,4096,158775,23905
1,0,166,0,4097,4096,188178,34849
1,0,167,0,4083,4096,187337,35516
1,0,168,0,4072,4096,188464,35922
1,0,169,0,4081,4096,188188,34851
1,0,170,0,405,4096,150470,23313
1,0,171,0,4077,4096,188015,35879
1,0,172,0,3830,4096,199284,36947
1,0,173,0,4090,4096,187947,35675
1,0,174,0,4089,4096,186200,36515
1,0,175,0,4084,4096,186942,35169
1,0,176,0,4091,4096,187771,35300
1,0,177,0,4086,4096,186342,34477
1,0,178,0,4089,4096,187454,35137
1,0,179,0,4087,4096,183701,34690
1,0,180,0,4085,4096,186289,35464
1,0,181,0,4094,4096,187593,35702
1,0,182,0,4080,4096,187320,35854
1,0,183,0,405,4096,166883,23110
1,0,184,0,4091,4096,188954,35608
1,0,185,0,4091,4096,188737,35149
1,0,186,0,3874,4096,194676,38426
1,0,187,0,4079,4096,189870,35697
1,0,188,0,4086,4096,187647,34859
1,0,189,0,4086,4096,186263,34943
1,0,190,0,4087,4096,187516,34327
1,0,191,0,3898,4096,202287,40241
1,0,192,0,4096,4096,185845,34962
1,0,193,0,4080,4096,185345,35134
1,0,194,0,4058,4096,186430,35808
1,0,195,0,408,4096,172491,23606
1,0,196,0,4091,4096,188391,35378
1,0,197,0,4084,4096,188324,35610
1,0,198,0,4081,4096,185579,35376
1,0,199,0,4088,4096,188002,36138
1,0,200,0,4082,4096,185955,34811
1,0,201,0,3944,4096,198631,40019
1,0,202,0,4088,4096,186964,35276
1,0,203,0,4097,4096,186863,34726
1,0,204,0,4081,4096,184853,35386
1,0,205,0,1128,4096,156758,26997
1,0,206,0,4101,4096,187363,35035
1,0,207,0,4091,4096,187328,35522
1,0,208,0,4090,4096,214240,38233
1,0,209,0,4084,4096,200866,37517
1,0,210,0,4086,4096,199171,37473
1,0,211,0,4104,4096,197457,38384
1,0,212,0,4102,4096,199896,37149
1,0,213,0,4091,4096,199028,37245
1,0,214,0,4081,4096,201328,38447
1,0,215,0,4067,4096,250227,44598
1,0,216,0,4099,4096,231981,44466
1,0,217,0,4094,4096,232611,44377
1,0,218,0,4116,4096,253277,39320
1,0,219,0,4096,4096,198358,37185
1,0,220,0,4091,4096,199562,38637
1,0,221,0,4076,4096,199179,37667
1,0,222,0,4092,4096,199141,38664
1,0,223,0,4102,4096,198441,37583
1,0,224,0,4086,4096,200892,38517
1,0,225,0,2556,4096,298495,49468
1,0,226,0,4099,4096,210977,37314
1,0,227,0,4082,4096,199717,37748
1,0,228,0,4100,4096,198965,37392
1,0,229,0,4083,4096,200030,37991
1,0,230,0,4085,4096,201754,37958
1,0,231,0,4086,4096,200372,37682
1,0,232,0,4076,4096,200780,38142
1,0,233,0,4094,4096,200434,38962
1,0,234,0,4091,4096,199982,37970
1,0,235,0,4088,4096,200645,38763
1,0,236,0,4099,4096,200875,37613
1,0,237,0,3014,4096,189359,38000
1,0,238,0,4096,4096,200433,37511
1,0,239,0,4101,4096,199577,37296
1,0,240,0,4083,4096,197621,37326
1,0,241,0,4063,4096,211851,39607
1,0,242,0,4090,4096,201789,37000
1,0,243,0,4090,4096,201333,37594
1,0,244,0,530,4096,194226,27115
1,0,245,0,4082,4096,202226,48553
1,0,246,0,4150,4096,185882,32907
1,0,247,0,4090,4096,185750,34222
1,0,248,0,4093,4096,186549,35368
1,0,249,0,4086,4096,191562,35955
1,0,250,0,4090,4096,185724,35035
1,0,251,0,454,4096,154311,23447
1,0,252,0,4147,4096,185501,33425
1,0,253,0,4089,4096,186636,35589
1,0,254,0,4096,4096,186888,34868
