cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,iteration_number,compressed_size,uncompressed_size,compression_time,decompression_time
1,0,158,0,4114,4096,9190,3769
1,0,159,0,4114,4096,9306,3758
1,0,160,0,4114,4096,8981,3729
1,0,161,0,4114,4096,9050,3676
1,0,162,0,616,4096,20208,9775
1,0,163,0,4114,4096,9047,3708
1,0,164,0,4114,4096,9670,3689
1,0,165,0,614,4096,22033,9406
1,0,166,0,4114,4096,9336,3760
1,0,167,0,4114,4096,9206,3756
1,0,168,0,4114,4096,9291,3758
1,0,169,0,4114,4096,9072,3716
1,0,170,0,544,4096,17654,8139
1,0,171,0,4114,4096,9534,3732
1,0,172,0,4114,4096,9148,3694
1,0,173,0,4114,4096,9016,3701
1,0,174,0,4114,4096,9021,3694
1,0,175,0,4114,4096,9007,3703
1,0,176,0,4114,4096,9046,3721
1,0,177,0,4114,4096,8996,3703
1,0,178,0,4114,4096,9093,3694
1,0,179,0,4114,4096,9070,3717
1,0,180,0,4114,4096,9260,3703
1,0,181,0,4114,4096,8999,3728
1,0,182,0,4114,4096,8999,3708
1,0,183,0,619,4096,20042,10497
1,0,184,0,4114,4096,9115,3689
1,0,185,0,4114,4096,9041,3700
1,0,186,0,4114,4096,9222,7986
1,0,187,0,4114,4096,9215,3698
1,0,188,0,4114,4096,9041,3688
1,0,189,0,4114,4096,9134,3717
1,0,190,0,4114,4096,9060,3707
1,0,191,0,4114,4096,9076,3689
1,0,192,0,4114,4096,9072,3720
1,0,193,0,4114,4096,9183,3716
1,0,194,0,4114,4096,9190,3703
1,0,195,0,574,4096,8011,3497
1,0,196,0,4114,4096,4087,1520
1,0,197,0,4114,4096,4421,1510
1,0,198,0,4114,4096,4047,1527
1,0,199,0,4114,4096,4024,1505
1,0,200,0,4114,4096,4060,1513
1,0,201,0,4114,4096,4143,1518
1,0,202,0,4114,4096,4372,1526
1,0,203,0,4114,4096,4030,1519
1,0,204,0,4114,4096,4022,1512
1,0,205,0,1124,4096,3806,2239
1,0,206,0,4114,4096,4097,1519
1,0,207,0,4114,4096,4040,1517
1,0,208,0,4114,4096,4192,1511
1,0,209,0,4114,4096,4054,1512
1,0,210,0,4114,4096,4018,1520
1,0,211,0,4114,4096,5810,1534
1,0,212,0,4114,4096,4176,1506
1,0,213,0,4114,4096,3974,1514
1,0,214,0,4114,4096,4395,1505
1,0,215,0,4114,4096,4058,1504
1,0,216,0,4114,4096,3977,1519
1,0,217,0,4114,4096,4012,1516
1,0,218,0,4114,4096,3983,1507
1,0,219,0,4114,4096,4337,1505
1,0,220,0,4114,4096,4235,1501
1,0,221,0,4114,4096,4014,1507
1,0,222,0,4114,4096,3998,1514
1,0,223,0,4114,4096,3974,1520
1,0,224,0,4114,4096,3994,1504
1,0,225,0,3221,4096,20747,4689
1,0,226,0,4114,4096,4024,1503
1,0,227,0,4114,4096,4134,1508
1,0,228,0,4114,4096,4008,1512
1,0,229,0,4114,4096,3963,1506
1,0,230,0,4114,4096,4007,1516
1,0,231,0,4114,4096,3972,1526
1,0,232,0,4114,4096,4046,1510
1,0,233,0,4114,4096,4302,1519
1,0,234,0,4114,4096,4002,1516
1,0,235,0,4114,4096,4005,1526
1,0,236,0,4114,4096,4000,1508
1,0,237,0,3172,4096,4486,2528
1,0,238,0,4114,4096,4006,1517
1,0,239,0,4114,4096,3981,1519
1,0,240,0,4114,4096,4029,1525
1,0,241,0,4114,4096,4057,1532
1,0,242,0,4114,4096,4005,1533
1,0,243,0,4114,4096,4008,1521
1,0,244,0,728,4096,9298,4031
1,0,245,0,4114,4096,4120,1515
1,0,246,0,4114,4096,3953,1516
1,0,247,0,4114,4096,4172,1523
1,0,248,0,4114,4096,4002,1519
1,0,249,0,4114,4096,3973,1521
1,0,250,0,4114,4096,4096,1518
1,0,251,0,594,4096,7767,3690
1,0,252,0,4114,4096,3988,1517
1,0,253,0,4114,4096,3944,1530
1,0,254,0,4114,4096,4079,1526
1,0,255,0,4114,4096,3966,1515
1,0,256,0,4114,4096,3996,1518
1,0,257,0,4114,4096,3969,1515
1,0,258,0,4114,4096,4004,1521
1,0,259,0,4114,4096,4256,1511
1,0,260,0,4114,4096,3983,1525
1,0,261,0,4114,4096,3971,1526
1,0,262,0,4114,4096,3967,1526
1,0,263,0,4114,4096,3981,1514
1,0,264,0,4114,4096,3969,1514
1,0,265,0,549,4096,6323,3267
1,0,266,0,4114,4096,4200,1522
1,0,267,0,4114,4096,4446,1534
1,0,268,0,4114,4096,4407,1524
1,0,269,0,4114,4096,4391,1524
1,0,270,0,4114,4096,4298,1518
1,0,271,0,4114,4096,4395,1571
1,0,272,0,4114,4096,4144,1524
1,0,273,0,4114,4096,3983,1525
1,0,274,0,4114,4096,3966,1519
1,0,275,0,4083,4096,6075,1939
1,0,276,0,4114,4096,4027,1551
1,0,277,0,4114,4096,3999,1515
1,0,278,0,4114,4096,4015,1533
1,0,279,0,4114,4096,3967,1522
1,0,280,0,4114,4096,4395,1518
1,0,281,0,4114,4096,4095,1520
1,0,282,0,4114,4096,4034,1519
1,0,283,0,4114,4096,4131,1529
1,0,284,0,4114,4096,4093,1510
1,0,285,0,4114,4096,4222,1517
1,0,286,0,4114,4096,3983,1519
1,0,287,0,4114,4096,3986,1520
1,0,288,0,4114,4096,3970,1512
1,0,289,0,4114,4096,3975,1523
1,0,290,0,4114,4096,3982,1518
1,0,291,0,4114,4096,4074,1518
1,0,292,0,4114,4096,4005,1514
1,0,293,0,1359,4096,14499,5317
1,0,294,0,4114,4096,4024,1518
1,0,295,0,570,4096,7602,3543
1,0,296,0,4114,4096,3987,1536
1,0,297,0,4114,4096,4006,1512
1,0,298,0,4114,4096,4318,1518
1,0,299,0,859,4096,10394,4413
1,0,300,0,4114,4096,4365,1541
1,0,301,0,4114,4096,4200,1517
1,0,302,0,1120,4096,3430,4535
1,0,303,0,4114,4096,4245,1516
1,0,304,0,4114,4096,4054,1530
1,0,305,0,4114,4096,4245,1503
1,0,306,0,3101,4096,4775,2054
1,0,307,0,4114,4096,4012,1520
1,0,308,0,4114,4096,4098,1507
1,0,309,0,4114,4096,3987,1503
1,0,310,0,4114,4096,4010,1511
1,0,311,0,4114,4096,3989,1520
1,0,312,0,4114,4096,4092,1510
1,0,313,0,4114,4096,4001,1512
1,0,314,0,4114,4096,3969,1516
1,0,315,0,4114,4096,4046,1503
1,0,316,0,4114,4096,3999,1509
1,0,317,0,4114,4096,4032,1514
1,0,318,0,4114,4096,3970,1509
1,0,319,0,4114,4096,4113,1511
1,0,320,0,4114,4096,4001,1503
1,0,321,0,4114,4096,4023,1518
1,0,322,0,4114,4096,3962,1506
1,0,323,0,4114,4096,4123,1507
1,0,324,0,848,4096,9771,4440
1,0,325,0,4114,4096,4082,1503
1,0,326,0,4114,4096,4114,1516
1,0,327,0,4114,4096,4267,1515
1,0,328,0,4114,4096,4008,1534
1,0,329,0,4114,4096,4149,1507
1,0,330,0,4114,4096,4199,1527
1,0,331,0,4114,4096,4023,1508
1,0,332,0,4114,4096,3987,1516
1,0,333,0,4114,4096,4052,1510
1,0,334,0,4114,4096,4469,1516
1,0,335,0,4114,4096,4076,1522
1,0,336,0,4114,4096,4071,1520
1,0,337,0,4114,4096,3966,1508
1,0,338,0,4114,4096,3972,1526
1,0,339,0,4114,4096,4309,1512
1,0,340,0,4114,4096,3975,1520
1,0,341,0,4114,4096,4019,1519
1,0,342,0,4114,4096,3986,1527
1,0,343,0,4114,4096,3947,1507
1,0,344,0,592,4096,7718,3758
1,0,345,0,4114,4096,4053,1522
1,0,346,0,4114,4096,4129,1564
1,0,347,0,4114,4096,3966,1512
1,0,348,0,4114,4096,3983,1516
1,0,349,0,4114,4096,4111,1534
1,0,350,0,4114,4096,3957,1516
1,0,351,0,4114,4096,4372,1513
1,0,352,0,4114,4096,3970,1514
1,0,353,0,4114,4096,3975,1518
1,0,354,0,4114,4096,3982,1534
1,0,355,0,4114,4096,3973,1510
1,0,356,0,4114,4096,4000,1505
1,0,357,0,4114,4096,4083,1518
1,0,358,0,4114,4096,4068,1510
1,0,359,0,4114,4096,4039,1524
1,0,360,0,4114,4096,4042,1560
1,0,361,0,4114,4096,3973,1521
1,0,362,0,4114,4096,3985,1543
1,0,363,0,4114,4096,4350,1512
1,0,364,0,4114,4096,3985,1519
1,0,365,0,4114,4096,3986,1513
1,0,366,0,4114,4096,3948,1518
1,0,367,0,4114,4096,4074,1508
1,0,368,0,560,4096,7612,3377
1,0,369,0,4114,4096,4072,1511
1,0,370,0,4114,4096,4026,1519
1,0,371,0,4114,4096,4107,1508
1,0,372,0,4114,4096,3997,1535
1,0,373,0,4114,4096,3995,1509
1,0,374,0,4114,4096,3965,1515
1,0,375,0,4114,4096,3979,1516
1,0,376,0,4114,4096,3976,1507
1,0,377,0,4114,4096,3993,1555
1,0,378,0,4114,4096,4063,1534
1,0,379,0,4114,4096,4004,1523
1,0,380,0,4114,4096,4346,1515
1,0,381,0,4114,4096,3973,1517
1,0,382,0,4114,4096,3976,1509
1,0,383,0,4114,4096,3985,1514
1,0,384,0,4114,4096,4321,1516
1,0,385,0,4114,4096,4201,1522
1,0,386,0,4114,4096,4018,1519
1,0,387,0,4114,4096,3979,1543
1,0,388,0,4114,4096,3983,1510
1,0,389,0,4114,4096,3983,1524
1,0,390,0,4114,4096,4068,1532
1,0,391,0,4114,4096,4294,1514
1,0,392,0,4114,4096,3967,1516
1,0,393,0,4114,4096,4064,1514
1,0,394,0,4114,4096,3964,1516
1,0,395,0,4114,4096,3967,1521
1,0,396,0,4114,4096,4366,1510
1,0,397,0,4114,4096,3981,1530
1,0,398,0,4114,4096,3969,1515
1,0,399,0,4114,4096,4057,1508
1,0,400,0,4114,4096,4008,1523
1,0,401,0,4114,4096,3953,1517
1,0,402,0,4114,4096,4161,1508
1,0,403,0,4114,4096,4135,1523
1,0,404,0,4114,4096,3953,1516
1,0,405,0,4114,4096,3971,1529
1,0,406,0,4114,4096,3958,1510
1,0,407,0,609,4096,7204,3519
1,0,408,0,4114,4096,3994,1532
1,0,409,0,4114,4096,3975,1528
1,0,410,0,4114,4096,4014,1504
1,0,411,0,4114,4096,4107,1506
1,0,412,0,4114,4096,3930,1522
1,0,413,0,4114,4096,3945,1509
1,0,414,0,4114,4096,3959,1507
1,0,415,0,4114,4096,3923,1505
1,0,416,0,4114,4096,4123,1532
1,0,417,0,4114,4096,3949,1508
1,0,418,0,4114,4096,3937,1509
1,0,419,0,4114,4096,3945,1515
1,0,420,0,4114,4096,3984,1206
1,0,421,0,4114,4096,4013,1513
1,0,422,0,4114,4096,3953,1516
1,0,423,0,4114,4096,4044,1511
1,0,424,0,4114,4096,4273,1517
1,0,425,0,4114,4096,3967,1508
1,0,426,0,4114,4096,4019,1523
1,0,427,0,4114,4096,3955,1503
1,0,428,0,4114,4096,3954,1513
1,0,429,0,4114,4096,4337,1503
1,0,430,0,4114,4096,4189,1524
1,0,431,0,4114,4096,3963,1514
1,0,432,0,4114,4096,4031,1518
1,0,433,0,4114,4096,3966,1505
1,0,434,0,4114,4096,3963,1498
1,0,435,0,4114,4096,4102,1513
1,0,436,0,4114,4096,3954,1510
1,0,437,0,4114,4096,3964,1524
1,0,438,0,4114,4096,3966,1513
1,0,439,0,1128,4096,9290,4697
1,0,440,0,4114,4096,4168,1513
1,0,441,0,4114,4096,4026,1507
1,0,442,0,4114,4096,3987,1498
1,0,443,0,4114,4096,3983,1529
1,0,444,0,4114,4096,3963,1502
1,0,445,0,4008,4096,8196,2304
1,0,446,0,4114,4096,4171,1520
1,0,447,0,4114,4096,4239,1497
1,0,448,0,4114,4096,4109,1512
1,0,449,0,4114,4096,3968,1510
1,0,450,0,4114,4096,3956,3316
1,0,451,0,4114,4096,4018,1533
1,0,452,0,4114,4096,3976,1510
1,0,453,0,4114,4096,3953,1515
1,0,454,0,4114,4096,4208,1508
1,0,455,0,533,4096,7527,3288
1,0,456,0,4114,4096,4172,1510
1,0,457,0,4114,4096,4261,1511
1,0,458,0,4114,4096,3980,1510
1,0,459,0,4114,4096,3944,1508
1,0,460,0,4114,4096,3953,1510
1,0,461,0,4114,4096,4224,1507
1,0,462,0,4114,4096,4053,1515
1,0,463,0,1403,4096,15317,6106
1,0,464,0,4114,4096,4100,1531
1,0,465,0,4114,4096,4012,1512
1,0,466,0,4114,4096,4216,1502
1,0,467,0,4114,4096,4186,1513
1,0,468,0,4114,4096,4004,1507
1,0,469,0,4114,4096,3967,1506
1,0,470,0,4114,4096,4004,1513
1,0,471,0,4114,4096,3962,1511
1,0,472,0,4114,4096,4216,1531
1,0,473,0,753,4096,9623,4440
1,0,474,0,4114,4096,3963,1516
1,0,475,0,4114,4096,3965,1503
1,0,476,0,1303,4096,11535,5324
1,0,477,0,153,4096,3998,2975
1,0,478,0,4114,4096,4000,1511
1,0,479,0,4114,4096,3968,1516
1,0,480,0,4114,4096,4139,1532
1,0,481,0,4114,4096,3981,1508
1,0,482,0,4114,4096,4455,1510
1,0,483,0,4114,4096,4062,1522
1,0,484,0,4114,4096,3970,1524
1,0,485,0,3938,4096,8290,2321
1,0,486,0,4114,4096,3972,1536
1,0,487,0,4114,4096,3977,1509
1,0,488,0,862,4096,10487,4558
1,0,489,0,4114,4096,3977,1514
