trace_name,alg_name,cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,compressed_size,uncompressed_size,compression_time,decompression_time
REFERENCE_ollama,WK64,0,0,1876,4240,4096,29731,21842
REFERENCE_ollama,WK64,0,0,1877,4240,4096,28912,21283
REFERENCE_ollama,WK64,0,0,1878,1160,4096,10433,10865
REFERENCE_ollama,WK64,0,0,1879,1960,4096,31114,23075
REFERENCE_ollama,WK64,0,0,1880,1928,4096,12090,9937
REFERENCE_ollama,WK64,0,0,1881,1144,4096,18400,14481
REFERENCE_ollama,WK64,0,0,1882,2216,4096,42721,29255
REFERENCE_ollama,WK64,0,0,1883,4240,4096,33772,25086
REFERENCE_ollama,WK64,0,0,1884,4240,4096,37119,27282
REFERENCE_ollama,WK64,0,0,1885,1736,4096,20670,17916
REFERENCE_ollama,WK64,0,0,1886,216,4096,3691,3597
REFERENCE_ollama,WK64,0,0,1887,576,4096,7264,6314
REFERENCE_ollama,WK64,0,0,1888,480,4096,5984,5627
REFERENCE_ollama,WK64,0,0,1889,984,4096,13975,15298
REFERENCE_ollama,WK64,0,0,1890,720,4096,11044,9280
REFERENCE_ollama,WK64,0,0,1891,944,4096,13114,12634
REFERENCE_ollama,WK64,0,0,1892,4240,4096,36189,26197
REFERENCE_ollama,WK64,0,0,1893,4240,4096,35415,25537
REFERENCE_ollama,WK64,0,0,1894,4240,4096,93046,61400
REFERENCE_ollama,WK64,0,0,1895,3216,4096,66090,43185
REFERENCE_ollama,WK64,0,0,1896,4240,4096,36759,25060
REFERENCE_ollama,WK64,0,0,1897,3216,4096,60739,39921
REFERENCE_ollama,WK64,0,0,1898,1496,4096,17032,16733
REFERENCE_ollama,WK64,0,0,1899,4240,4096,31375,22606
REFERENCE_ollama,WK64,0,0,1900,4240,4096,28738,24617
REFERENCE_ollama,WK64,0,0,1901,1184,4096,14833,12626
REFERENCE_ollama,WK64,0,0,1902,4240,4096,33757,25239
REFERENCE_ollama,WK64,0,0,1903,1048,4096,12993,11153
REFERENCE_ollama,WK64,0,0,1904,1584,4096,23094,19133
REFERENCE_ollama,WK64,0,0,1905,520,4096,8074,7524
REFERENCE_ollama,WK64,0,0,1906,4240,4096,33535,25031
REFERENCE_ollama,WK64,0,0,1907,4240,4096,86291,62265
REFERENCE_ollama,WK64,0,0,1908,4240,4096,34165,24924
REFERENCE_ollama,WK64,0,0,1909,4240,4096,35153,25393
REFERENCE_ollama,WK64,0,0,1910,1424,4096,14348,14386
REFERENCE_ollama,WK64,0,0,1911,808,4096,11330,11531
REFERENCE_ollama,WK64,0,0,1912,1264,4096,23334,18168
REFERENCE_ollama,WK64,0,0,1913,4240,4096,33851,25361
REFERENCE_ollama,WK64,0,0,1914,744,4096,10966,9613
REFERENCE_ollama,WK64,0,0,1915,4240,4096,33859,24649
REFERENCE_ollama,WK64,0,0,1916,760,4096,10489,9533
REFERENCE_ollama,WK64,0,0,1917,4240,4096,33909,24785
REFERENCE_ollama,WK64,0,0,1918,1224,4096,19612,17815
REFERENCE_ollama,WK64,0,0,1919,1976,4096,13927,11210
REFERENCE_ollama,WK64,0,0,1920,4240,4096,34994,25490
REFERENCE_ollama,WK64,0,0,1921,4240,4096,31617,24079
REFERENCE_ollama,WK64,0,0,1922,4240,4096,30760,23442
REFERENCE_ollama,WK64,0,0,1923,3280,4096,71459,46736
REFERENCE_ollama,WK64,0,0,1924,4240,4096,39079,29054
REFERENCE_ollama,WK64,0,0,1925,1416,4096,27313,23655
REFERENCE_ollama,WK64,0,0,1926,1120,4096,12947,11417
REFERENCE_ollama,WK64,0,0,1927,4240,4096,90614,60003
REFERENCE_ollama,WK64,0,0,1928,1280,4096,20080,17990
REFERENCE_ollama,WK64,0,0,1929,4240,4096,35784,26615
REFERENCE_ollama,WK64,0,0,1930,4240,4096,31234,23757
REFERENCE_ollama,WK64,0,0,1931,4240,4096,32767,24330
REFERENCE_ollama,WK64,0,0,1932,4240,4096,92493,61012
REFERENCE_ollama,WK64,0,0,1933,4240,4096,34441,25860
REFERENCE_ollama,WK64,0,0,1934,4240,4096,32848,25074
REFERENCE_ollama,WK64,0,0,1935,4240,4096,33124,24610
REFERENCE_ollama,WK64,0,0,1936,4240,4096,90635,59334
REFERENCE_ollama,WK64,0,0,1937,720,4096,10022,8655
REFERENCE_ollama,WK64,0,0,1938,4240,4096,34810,26252
REFERENCE_ollama,WK64,0,0,1939,4240,4096,31110,23111
REFERENCE_ollama,WK64,0,0,1940,4240,4096,32668,23726
REFERENCE_ollama,WK64,0,0,1941,4240,4096,30228,23042
REFERENCE_ollama,WK64,0,0,1942,720,4096,11166,10051
REFERENCE_ollama,WK64,0,0,1943,560,4096,6450,8029
REFERENCE_ollama,WK64,0,0,1944,2824,4096,60350,46009
REFERENCE_ollama,WK64,0,0,1945,1632,4096,27267,20136
REFERENCE_ollama,WK64,0,0,1946,736,4096,11968,10242
REFERENCE_ollama,WK64,0,0,1947,424,4096,5508,5970
REFERENCE_ollama,WK64,0,0,1948,4240,4096,38872,28726
REFERENCE_ollama,WK64,0,0,1949,888,4096,13177,12175
REFERENCE_ollama,WK64,0,0,1950,4240,4096,90582,59607
REFERENCE_ollama,WK64,0,0,1951,4240,4096,90561,58893
REFERENCE_ollama,WK64,0,0,1952,2280,4096,29583,22427
REFERENCE_ollama,WK64,0,0,1953,4240,4096,34405,25252
REFERENCE_ollama,WK64,0,0,1954,160,4096,3321,3376
REFERENCE_ollama,WK64,0,0,1955,840,4096,10424,8772
REFERENCE_ollama,WK64,0,0,1956,216,4096,3708,3618
REFERENCE_ollama,WK64,0,0,1957,2464,4096,28038,21895
REFERENCE_ollama,WK64,0,0,1958,1040,4096,11021,9043
REFERENCE_ollama,WK64,0,0,1959,160,4096,3366,3371
REFERENCE_ollama,WK64,0,0,1960,2984,4096,32562,25267
REFERENCE_ollama,WK64,0,0,1961,232,4096,3682,3557
REFERENCE_ollama,WK64,0,0,1962,2544,4096,25582,20219
REFERENCE_ollama,WK64,0,0,1963,4240,4096,35458,25816
REFERENCE_ollama,WK64,0,0,1964,360,4096,4840,4972
REFERENCE_ollama,WK64,0,0,1965,4240,4096,34778,25740
REFERENCE_ollama,WK64,0,0,1966,4240,4096,32723,24204
REFERENCE_ollama,WK64,0,0,1967,4240,4096,33153,24491
REFERENCE_ollama,WK64,0,0,1968,4240,4096,34683,25913
REFERENCE_ollama,WK64,0,0,1969,2448,4096,23369,19365
REFERENCE_ollama,WK64,0,0,1970,768,4096,11653,11492
REFERENCE_ollama,WK64,0,0,1971,4240,4096,40089,26907
REFERENCE_ollama,WK64,0,0,1972,216,4096,3596,3529
REFERENCE_ollama,WK64,0,0,1973,1648,4096,14819,13931
REFERENCE_ollama,WK64,0,0,1974,1104,4096,16943,13667
REFERENCE_ollama,WK64,0,0,1975,4240,4096,34629,25372
REFERENCE_ollama,WK64,0,0,1976,4240,4096,30055,22178
REFERENCE_ollama,WK64,0,0,1977,4240,4096,34770,24814
REFERENCE_ollama,WK64,0,0,1978,4240,4096,30878,22968
REFERENCE_ollama,WK64,0,0,1979,4240,4096,33027,25110
REFERENCE_ollama,WK64,0,0,1980,4240,4096,36346,26998
REFERENCE_ollama,WK64,0,0,1981,4240,4096,35137,25660
REFERENCE_ollama,WK64,0,0,1982,1232,4096,24082,17170
REFERENCE_ollama,WK64,0,0,1983,4240,4096,35845,26097
REFERENCE_ollama,WK64,0,0,1984,4240,4096,90853,59965
REFERENCE_ollama,WK64,0,0,1985,1184,4096,13791,14388
REFERENCE_ollama,WK64,0,0,1986,4240,4096,35157,26068
REFERENCE_ollama,WK64,0,0,1987,4240,4096,33051,24491
REFERENCE_ollama,WK64,0,0,1988,4240,4096,37056,27036
REFERENCE_ollama,WK64,0,0,1989,320,4096,4076,3843
